Search_Field,Keywords_Count,Keywords,Total_Papers,WUMaCat_Overlaps,Precision_%,Recall_%,F1_Score_%,Efficiency,Keywords_List
Semantic Search,5,"binary, light, contact...",12704,371,2.9203400503778334,87.5,5.652041438147471,34.242587601078164,"['binary', 'light', 'contact', 'period', 'photometric']"
Semantic Search,7,"binary, light, contact...",10241,360,3.5152817107704326,84.90566037735849,6.751054852320675,28.447222222222223,"['binary', 'light', 'contact', 'period', 'photometric', 'mass', 'type']"
Semantic Search,10,"binary, light, contact...",7644,354,4.631083202511774,83.49056603773585,8.775409023301934,21.593220338983052,"['binary', 'light', 'contact', 'period', 'photometric', 'mass', 'type', 'curves', 'binaries', 'eclipsing']"
Semantic Search,15,"binary, light, contact...",5790,338,5.837651122625216,79.71698113207547,10.878661087866108,17.130177514792898,"['binary', 'light', 'contact', 'period', 'photometric', 'mass', 'type', 'curves', 'binaries', 'eclipsing', 'orbital', 'ratio', 'curve', 'component', 'star']"
Semantic Search,20,"binary, light, contact...",1356,244,17.99410029498525,57.54716981132076,27.415730337078656,5.557377049180328,"['binary', 'light', 'contact', 'period', 'photometric', 'mass', 'type', 'curves', 'binaries', 'eclipsing', 'orbital', 'ratio', 'curve', 'component', 'star', 'components', 'massive', 'solutions', 'wilson', 'devinney']"
